country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Aruba;53k;61.8k;70k;98.4k;103k;109k;114k;121k;128k;132k;;135k;139k;140k;141k;;;;;
Afghanistan;0;25k;200k;600k;1.2M;2.52M;4.67M;7.9M;10.5M;10.2M;13.8M;15.3M;16.8M;18.4M;19.7M;21.6M;23.9M;22M;22.6M;
Angola;75k;140k;350k;740k;1.61M;3.05M;4.96M;6.77M;8.11M;9.4M;12.1M;12.8M;13.3M;14.1M;13.9M;13M;13.3M;13.3M;14.8M;
Albania;393k;851k;1.1M;1.26M;1.53M;1.91M;2.32M;1.86M;2.46M;2.69M;3.1M;3.5M;3.69M;3.36M;3.4M;3.37M;3.63M;2.71M;2.63M;
Andorra;29.4k;32.8k;51.9k;58.4k;64.6k;69k;63.5k;64.2k;64.5k;65.5k;65k;63.9k;63.9k;66.2k;71.3k;76.1k;80.3k;82.6k;87.9k;
United Arab Emirates;1.91M;2.43M;2.97M;3.68M;4.53M;5.52M;7.73M;9.36M;10.7M;10.9M;11.7M;13.8M;16.1M;16.8M;17.9M;19.9M;19.8M;20.1M;19.6M;
Argentina;6.74M;6.57M;7.84M;13.5M;22.2M;31.5M;40.4M;46.5M;52.5M;57.1M;60.7M;64.3M;67.4M;61.2M;61.8M;63.7M;61.9M;58.6M;56.4M;
Armenia;25.5k;71.3k;114k;203k;318k;1.26M;1.88M;1.44M;2.19M;3.87M;3.21M;3.32M;3.35M;3.46M;3.46M;3.43M;3.49M;3.58M;3.62M;
American Samoa;2160;2040;2100;2250;;;;;;;;;;;;;;;;
Antigua and Barbuda;25k;38.2k;46.1k;54k;86k;110k;112k;137k;135k;168k;176k;127k;114k;120k;176k;180k;184k;;;
Australia;11.1M;12.7M;14.3M;16.5M;18.4M;19.8M;21.3M;22.1M;22.2M;22.5M;23.8M;24.3M;24.9M;25.1M;25.8M;26.6M;26.7M;27.6M;27.5M;
Austria;6.54M;6.74M;7.27M;7.99M;8.66M;9.28M;9.91M;10.8M;11.4M;12.2M;13M;13.6M;13.3M;13M;13.5M;11.1M;10.9M;11M;10.7M;
Azerbaijan;730k;794k;1.06M;1.46M;2.24M;3.32M;4.52M;6.55M;7.76M;9.1M;10.1M;10.1M;10.1M;10.6M;10.7M;10.2M;10.1M;10.3M;10.8M;
Burundi;33.4k;52k;64k;101k;153k;200k;270k;481k;921k;1.68M;1.91M;2.25M;2.54M;3.19M;5M;5.36M;5.92M;6.32M;6.53M;
Belgium;7.7M;8.1M;8.61M;9.13M;9.6M;9.85M;10.7M;11.3M;11.8M;12.2M;12.5M;12.3M;12.3M;12.7M;12.8M;12.6M;11.4M;11.4M;11.5M;
Benin;125k;219k;236k;459k;596k;1.06M;2.05M;3.63M;5.03M;7.07M;7.77M;8.41M;9.63M;8.66M;9.32M;8.89M;8.77M;9.46M;10.3M;
Burkina Faso;76.2k;111k;238k;396k;634k;1.02M;1.86M;3.02M;3.82M;5.71M;7.68M;9.98M;11.2M;12.5M;14.4M;15.4M;17.9M;19.3M;20.4M;
Bangladesh;520k;1.07M;1.36M;2.78M;9M;19.1M;34.4M;44.6M;51.4M;67.9M;84.4M;97.2M;117M;127M;131M;136M;151M;162M;166M;
Bulgaria;1.55M;2.6M;3.5M;4.73M;6.24M;8.25M;9.9M;10.4M;10.5M;10.2M;10.5M;10.8M;10.5M;9.49M;9.19M;8.97M;8.53M;8.39M;8.13M;
Bahrain;300k;389k;443k;650k;767k;907k;1.12M;1.44M;1.4M;1.57M;1.69M;2.12M;2.21M;2.33M;2.52M;2.99M;2.36M;2.09M;1.9M;
Bahamas;60.6k;122k;122k;186k;228k;253k;374k;358k;359k;428k;299k;300k;287k;315k;311k;360k;354k;389k;426k;
Bosnia and Herzegovina;445k;749k;1.07M;1.41M;1.59M;1.89M;2.45M;3.18M;3.26M;3.11M;3.17M;3.36M;3.49M;3.49M;3.44M;3.4M;3.44M;3.46M;3.76M;
Belarus;138k;463k;1.12M;2.24M;4.1M;5.96M;6.96M;8.13M;9.69M;10.3M;10.7M;10.7M;11.1M;11.4M;11.4M;11.4M;11.4M;11.6M;11.6M;
Belize;39.2k;51.7k;60.4k;75k;96k;118k;118k;160k;162k;194k;222k;172k;175k;172k;212k;223k;239k;246k;255k;
Bermuda;13.3k;30k;40k;49k;52.7k;60.1k;69k;79k;85k;88.2k;;91k;94.3k;59.5k;38k;63.9k;65k;;;
Bolivia;780k;1.02M;1.28M;1.8M;2.42M;2.88M;3.25M;5.04M;6.46M;7.18M;8.35M;9.49M;10.4M;10.5M;10.2M;10.1M;11M;11.4M;11.7M;
Brazil;28.7;34.9;46.4;65.6;86.2;99.9;121;151;169;197;234;248;271;281;258;244;221;209;202;
Barbados;53.1k;97.2k;140k;200k;206k;237k;258k;289k;337k;350k;348k;349k;308k;305k;335k;332k;330k;329k;329k;
Brunei;143k;154k;177k;202k;233k;301k;366k;399k;413k;435k;443k;470k;469k;452k;463k;523k;545k;566k;575k;
Bhutan;0;0;2260;19.1k;36k;82.1k;149k;253k;339k;394k;484k;561k;544k;625k;676k;698k;731k;704k;729k;
