country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Angola;82.6;86;95.9;87.5;109;145;133;172;189;206;207;219;280;312;;;;;
Albania;1350;1580;1470;1800;1720;1220;1210;1620;1840;1940;2210;2120;2530;2310;;;;;
United Arab Emirates;12.1k;12.5k;12.4k;12k;12.3k;11.7k;11.5k;11.3k;10.6k;10.6k;10.3k;10.4k;10.7k;11.1k;;;;;
Argentina;2120;2010;2180;2290;2410;2370;2460;2770;2730;2880;2930;3000;2970;3070;;;;;
Armenia;1270;1240;1320;1440;1520;1640;1770;1670;1660;1730;1810;1890;1930;1960;;;;;
Australia;10.6k;10.8k;10.4k;10.6k;10.5k;10.5k;11k;10.7k;10.8k;10.7k;10.6k;10.4k;10.2k;10.1k;;;;;
Austria;7330;7430;7700;7810;7980;8240;8210;8230;7940;8380;8430;8550;8510;8360;;;;;
Azerbaijan;2110;2000;2240;2280;2390;2550;2120;2040;1620;1600;1710;2050;2090;2200;;;;;
Belgium;8270;8310;8410;8580;8510;8680;8610;8520;7900;8390;8030;7990;7990;7710;;;;;
Benin;61.5;68.3;64.6;70.3;73.8;75.1;79.7;86.4;87.9;95.4;91.5;93.1;96.8;100;;;;;
Bangladesh;115;123;129;165;176;197;206;208;226;247;266;283;302;320;;;;;
Bulgaria;3860;3850;4000;3970;4170;4370;4520;4670;4480;4560;4860;4760;4640;4710;;;;;
Bahrain;20.1k;20k;19.8k;19k;21.3k;21.5k;20.6k;18.5k;17.5k;18k;17.9k;17.8k;18.7k;19.6k;;;;;
Bosnia and Herzegovina;2070;2090;2230;2320;2390;2380;2380;2990;2890;3160;3340;3480;3470;3450;;;;;
Belarus;3010;3000;3060;3170;3250;3370;3390;3480;3300;3560;3630;3700;3650;3680;;;;;
Bolivia;417;430;437;447;477;507;539;528;547;597;629;654;696;743;;;;;
Brazil;1750;1810;1880;1960;2020;2070;2170;2230;2200;2370;2430;2500;2570;2620;;;;;
Brunei;7180;7370;8550;8600;8460;8430;8610;8590;8840;8810;8780;9240;9870;10.3k;;;;;
Botswana;1230;1270;1360;1480;1460;1490;1540;1540;1740;1560;1500;1760;2130;1820;;;;;
Canada;16.8k;17k;17.2k;17.3k;16.9k;16.5k;16.7k;16.4k;15.5k;15.3k;15.6k;15.3k;15.8k;15.6k;;;;;
Switzerland;7990;8030;8200;8210;8310;8360;8160;8310;8020;8170;7930;7890;7810;7520;;;;;
Chile;2630;2730;2900;3060;3100;3220;3340;3340;3300;3310;3580;3810;3880;3880;;;;;
China;1080;1190;1380;1590;1780;2040;2330;2450;2610;2940;3300;3470;3770;3930;;;;;
Cote d'Ivoire;182;177;174;173;172;182;187;196;201;215;197;235;233;275;;;;;
Cameroon;165;155;167;192;186;246;254;267;265;261;256;247;252;275;;;;;
Congo;96.6;95.5;89.7;90.2;88.2;89.5;102;105;101;107;105;108;112;117;109;;;;
Congo;95.6;105;115;115;105;117;126;125;135;145;140;148;215;213;203;;;;
Colombia;866;873;876;912;909;961;989;988;1070;1090;1140;1170;1310;1310;;;;;
Costa Rica;1490;1560;1640;1680;1720;1820;1890;1890;1850;1890;1890;1940;1940;1940;;;;;
Cuba;1160;1190;1190;1180;1160;1230;1300;1320;1330;1300;1330;1380;1440;1450;;;;;
Cyprus;3460;3700;3920;3950;4100;4240;4380;4550;4580;4590;4240;4040;3590;3620;;;;;
Czech Republic;5890;5890;6070;6230;6360;6530;6520;6490;6140;6350;6300;6300;6280;6260;;;;;
Germany;6760;6900;7010;7110;7140;7210;7230;7190;6820;7260;7280;7270;7220;7040;;;;;
Denmark;6490;6530;6600;6620;6660;6820;6670;6530;6220;6330;6170;6040;6040;5860;;;;;
Dominican Republic;1290;1390;1370;1130;1230;1330;1360;1380;1330;1390;1430;1500;1550;1620;;;;;
Algeria;709;731;786;804;891;862;894;947;866;1020;1120;1240;1280;1360;;;;;
Ecuador;647;688;716;824;795;862;953;1080;1100;1140;1210;1280;1330;1380;;;;;
Egypt;1030;1080;1150;1190;1260;1330;1420;1470;1540;1580;1690;1690;1680;1680;;;;;
Eritrea;81.7;87.1;89.6;86.4;85.6;79.5;81.8;79;83.3;85.8;89.3;92.9;95.1;96.6;;;;;
Spain;5420;5580;5680;5890;6110;6110;6050;6030;5650;5710;5600;5570;5410;5360;;;;;
Estonia;4680;4770;5160;5430;5530;5870;6280;6360;5980;6510;6310;6690;6660;6730;;;;;
Ethiopia;26.6;26.2;28.6;30.8;33.5;37.5;39.6;41;42.2;48.3;52.6;57.2;64.1;69.2;;;;;
Finland;15.7k;16.1k;16.4k;16.8k;16.1k;17.2k;17.2k;16.3k;15.2k;16.5k;15.7k;15.7k;15.5k;15.2k;;;;;
France;7340;7300;7530;7660;7650;7540;7510;7640;7340;7730;7230;7360;7370;6940;;;;;
Gabon;900;926;936;916;916;945;970;982;943;957;967;989;1080;1170;;;;;
United Kingdom;6140;6140;6170;6140;6270;6200;6100;6020;5640;5700;5470;5450;5410;5130;;;;;
Georgia;1580;1650;1750;1810;1920;1770;1830;1880;1830;2050;2290;2330;2500;2690;;;;;
Ghana;332;306;218;217;243;293;241;261;260;277;315;342;376;351;;;;;
Gibraltar;3860;3890;3990;4010;4240;4370;4470;4800;5040;5120;4940;5080;5430;5690;;;;;
Greece;4720;4910;5090;5200;5300;5430;5700;5810;5630;5330;5390;5530;5030;5060;;;;;
Guatemala;360;365;454;487;486;540;552;541;550;556;550;550;579;601;;;;;
