country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Aruba;17.1;18.8;20.8;23;25.4;28;30.9;52;58;62;69;74;78.9;83.8;88.7;93.5;97.2;;;
Afghanistan;0.00472;0.00456;0.0879;0.106;1.22;2.11;1.9;1.84;3.55;4;5;5.45;5.9;7;8.26;;;;;
Angola;0.136;0.27;0.371;0.465;1.14;1.5;1.7;1.9;2.3;2.8;3.1;6.5;8.9;21.4;29;29;32;35;36;
Albania;0.326;0.39;0.972;2.42;6.04;9.61;15;23.9;41.2;45;47;49.4;51.8;54.3;56.9;59.6;62.4;65.4;68.6;
Andorra;;11.3;13.5;26.8;37.6;48.9;70.9;70;78.5;81;81;;;;;;91.6;;;
United Arab Emirates;26.3;28.3;29.5;30.1;40;52;61;63;64;68;78;85;88;90.4;90.5;90.6;94.8;98.5;99.2;
Argentina;9.78;10.9;11.9;16;17.7;20.9;25.9;28.1;34;45;51;55.8;59.9;64.7;68;71;74.3;;;
Armenia;1.63;1.96;4.58;4.9;5.25;5.63;6.02;6.21;15.3;25;32;37.5;41.9;54.6;59.1;64.3;64.7;68.2;66.5;
American Samoa;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;8.9;12.5;17.2;24.3;27;30;34;38;42;47;52;58;63.4;67.8;70;73;;;;
Australia;52.7;;;;63;66;69.5;71.7;74.3;76;79.5;79;83.5;84;84.6;86.5;86.5;;;
Austria;39.2;36.6;42.7;54.3;58;63.6;69.4;72.9;73.5;75.2;78.7;80;80.6;81;83.9;84.3;87.9;87.5;87.8;
Azerbaijan;0.306;5;;;8.03;12;14.5;17.1;27.4;46;50;54.2;73;75;77;78.2;79;79.8;81.1;
Burundi;0.106;0.118;0.201;0.349;0.542;0.658;0.7;0.81;0.9;1;1.11;1.22;1.26;1.4;2.1;2.4;2.66;5;5.2;
Belgium;31.3;46.3;50;53.9;55.8;59.7;64.4;66;70;75;81.6;80.7;82.2;85;85.1;86.5;87.7;88.6;90.3;
Benin;0.363;0.703;0.951;1.18;1.27;1.54;1.79;1.85;2.24;3.13;4.15;4.5;4.9;6;11.3;12;13.3;26;29;
Burkina Faso;0.158;0.201;0.373;0.4;0.47;0.633;0.75;0.92;1.13;2.4;3;3.73;5;6;7;9;12;14;18;
Bangladesh;0.13;0.14;0.164;0.199;0.242;1;1.8;2.5;3.1;3.7;4.5;5;6.63;7.4;8.3;9.2;10.3;11.5;12.9;
Bulgaria;7.61;9.08;12;18.1;20;27.1;33.6;39.7;45;46.2;48;51.9;53.1;55.5;56.7;59.8;63.4;64.8;67.9;
Bahrain;15;18.1;21.6;21.5;21.3;28.2;32.9;52;53;55;77;88;90;90.5;93.5;98;95.9;98.6;99.7;
Bahamas;11.8;18;20;22;25;26;27;31.5;33.9;43;65;71.7;72;76.9;78;80;85;;;
Bosnia and Herzegovina;1.2;2.65;3.97;15.5;21.3;25.1;27.9;34.7;37.7;42.8;43.9;45.1;48.5;49.9;52.6;60.3;64.9;70.1;69.9;
Belarus;4.3;8.95;;;;16.2;19.7;23;27.4;31.8;39.6;46.9;54.2;59;62.2;71.1;74.4;79.1;82.8;
Belize;;5.68;;9.8;17;24;24.6;26.3;27.2;28.2;30.7;31;33.6;38.7;41.6;44.6;47.1;;;
Bermuda;47.5;52;56.5;61;65.4;69.9;74.4;82.3;83.3;84.2;88.3;91.3;95.3;96.8;98.3;98;98.4;;;
Bolivia;2.12;3.12;3.51;4.44;5.23;6.2;10.5;12.5;16.8;22.4;30;35.3;37;34.6;37.5;39.7;43.8;44.3;47.5;
Brazil;4.53;9.15;13.2;19.1;21;28.2;30.9;33.8;39.2;40.6;45.7;48.6;51;54.6;58.3;60.9;67.5;70.4;73.9;
Barbados;11.9;27.8;39.7;49.8;52.5;55.3;58.2;61.4;64.7;65.1;66.5;71.2;71.8;75.2;76.1;79.5;81.8;;;
Brunei;12.9;15.3;19.6;29.7;36.5;42.2;44.7;46;49;53;56;60.3;64.5;68.8;71.2;90;94.9;95;95;
Bhutan;0.865;1.68;2.44;3.16;3.85;4.52;5.92;6.55;7.17;13.6;14.4;15.6;22.4;30.3;39.8;41.8;;;;
Botswana;3.43;3.39;3.35;3.3;3.26;4.29;5.28;6.25;6.15;6;9;16;30;36.7;37.3;39.4;41.4;58;61;
Central African Republic;0.0785;0.129;0.152;0.223;0.268;0.311;0.376;1;1.8;2;2.2;3;3.4;3.6;3.8;4;;;;
Canada;60.2;61.6;64.2;66;71.7;72.4;73.2;76.7;80.3;80.3;83;83;85.8;87.1;90;91.2;92.7;94.6;96.5;
Switzerland;55.1;61.4;65.1;67.8;70.1;75.7;77.2;79.2;81.3;83.9;85.2;85.2;86.3;87.4;87.5;89.1;89.7;91.8;93.1;
Chile;19.1;22.1;25.5;28.2;31.2;34.5;35.9;37.3;41.6;45;52.2;55;58;61.1;76.6;83.6;82.3;;;
China;2.64;4.6;6.2;7.3;8.52;10.5;16;22.6;28.9;34.3;38.3;42.3;45.8;47.9;50.3;53.2;54.3;59.2;64.6;
Cote d'Ivoire;0.396;0.498;0.759;0.849;1.04;1.52;1.8;1.9;2;2.7;2.9;5;12;19.3;38.4;41.2;43.8;37.5;36.3;
Cameroon;0.277;0.361;0.588;0.976;1.4;2.03;2.93;3.4;3.84;4.3;5;7.5;10;16.2;18.3;20.6;23.2;29.7;33.5;
Congo;0.0059;0.0115;0.0928;0.135;0.196;0.238;0.296;0.37;0.44;0.56;0.72;1.2;1.68;2.2;3;3.8;6.21;8.62;11.7;
Congo;0.0263;0.0322;0.157;0.46;1.08;1.46;2.01;2.76;4.29;4.5;5;5.6;6.11;6.6;7.11;7.62;8.12;8.65;;
Colombia;2.85;4.6;7.39;9.12;11;15.3;21.8;25.6;30;36.5;40.4;49;51.7;52.6;55.9;58.1;62.3;64.1;65;
Comoros;0.443;0.555;0.848;1.33;2;2.2;2.5;3;3.5;5.1;5.5;5.98;6.5;6.98;7.46;7.94;8.48;;;
